-0.811912 0.839151 -0.193164 1.508644
-0.809570 0.841654 -0.187628 1.514222
-0.807229 0.844137 -0.182096 1.519796
-0.804890 0.846602 -0.176570 1.525367
-0.802551 0.849048 -0.171048 1.530935
-0.800213 0.851475 -0.165533 1.536500
-0.797877 0.853883 -0.160022 1.542062
-0.795542 0.856272 -0.154517 1.547620
-0.793209 0.858641 -0.149018 1.553175
-0.790877 0.860992 -0.143524 1.558726
-0.788547 0.863324 -0.138036 1.564273
-0.786218 0.865636 -0.132554 1.569817
-0.783891 0.867929 -0.127078 1.575357
-0.781566 0.870203 -0.121608 1.580892
-0.779243 0.872458 -0.116143 1.586424
-0.776922 0.874693 -0.110685 1.591951
-0.774603 0.876909 -0.105233 1.597474
-0.772286 0.879106 -0.099788 1.602993
-0.769971 0.881283 -0.094348 1.608508
-0.767658 0.883441 -0.088915 1.614017
-0.765348 0.885580 -0.083489 1.619523
-0.763040 0.887699 -0.078069 1.625023
-0.760735 0.889799 -0.072656 1.630519
-0.758432 0.891879 -0.067249 1.636010
-0.756132 0.893940 -0.061850 1.641495
-0.753834 0.895981 -0.056457 1.646976
-0.751539 0.898003 -0.051071 1.652451
-0.749247 0.900005 -0.045692 1.657922
-0.746959 0.901987 -0.040320 1.663386
-0.744673 0.903950 -0.034955 1.668846
-0.742390 0.905893 -0.029598 1.674300
-0.740110 0.907817 -0.024247 1.679748
-0.737834 0.909721 -0.018904 1.685190
-0.735560 0.911605 -0.013569 1.690627
-0.733291 0.913469 -0.008241 1.696058
-0.731024 0.915314 -0.002921 1.701482
-0.728761 0.917139 0.002392 1.706901
-0.726502 0.918944 0.007697 1.712313
-0.724246 0.920730 0.012995 1.717720
-0.721994 0.922496 0.018284 1.723119
-0.719746 0.924242 0.023566 1.728513
-0.717502 0.925968 0.028840 1.733900
-0.715261 0.927674 0.034106 1.739280
-0.713025 0.929361 0.039363 1.744653
-0.710792 0.931027 0.044613 1.750020
-0.708564 0.932674 0.049854 1.755380
-0.706340 0.934301 0.055087 1.760733
-0.704120 0.935908 0.060312 1.766079
-0.701905 0.937496 0.065528 1.771417
-0.699694 0.939063 0.070736 1.776749
-0.697488 0.940611 0.075935 1.782073
-0.695286 0.942138 0.081126 1.787389
-0.693088 0.943646 0.086308 1.792699
-0.690896 0.945134 0.091481 1.798000
-0.688708 0.946602 0.096646 1.803294
-0.686525 0.948050 0.101802 1.808580
-0.684346 0.949479 0.106949 1.813859
-0.682173 0.950887 0.112087 1.819129
-0.680005 0.952275 0.117216 1.824391
-0.677842 0.953644 0.122336 1.829646
-0.675684 0.954992 0.127447 1.834892
-0.673531 0.956321 0.132549 1.840130
-0.671384 0.957630 0.137641 1.845359
-0.669241 0.958919 0.142724 1.850580
-0.667105 0.960188 0.147798 1.855793
-0.664973 0.961437 0.152863 1.860997
-0.662848 0.962666 0.157918 1.866192
-0.660728 0.963876 0.162963 1.871379
-0.658613 0.965065 0.167999 1.876556
-0.656505 0.966235 0.173026 1.881725
-0.654402 0.967385 0.178043 1.886885
-0.652305 0.968515 0.183050 1.892035
-0.650214 0.969625 0.188047 1.897177
-0.648128 0.970715 0.193035 1.902309
-0.646049 0.971786 0.198013 1.907432
-0.643976 0.972836 0.202980 1.912545
-0.641910 0.973867 0.207938 1.917649
-0.639849 0.974878 0.212886 1.922744
-0.637795 0.975869 0.217824 1.927828
-0.635747 0.976841 0.222752 1.932903
